OE0012;StÈí;Xèís.;Èíslo èipu;Id databáze;Pøíjmení;Jméno (køest.);RN;S;Blok;ms;Start;Cíl;Èas;Klasifikace;Kredit -;Penalizace +;Komentáø;È. oddílu;Název oddílu;Mìsto;Stát;Místo;Zkratka;Kat. è.;Krátkı;Dlouhı;Kat. è.;Kat. (krátká);Kat. (dlouhá);Ranking;Rankingové body;Num1;Num2;Num3;Text1;Text2;Text3;Pøíjmení;Jméno;Ulice;2.øádek;PSÈ;Mìsto;Tel;Mobil;Fax;E-mail;Pùjèeno;Vklady;Placeno;Drustvo;Èíslo tratì;Tra;km;m;Kontroly tratì;Místo;
;;;;;První;Adéla;;F;;0;37:00;43:27;6:27;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;1;
;;;;;Druhá;Kateøina;;F;;0;31:00;39:34;8:34;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;2;
;;;;;Tøetí;Karolína;;F;;0;33:00;43:12;10:12;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;3;
;;;;;Ètvrtá;Markéta;;F;;0;30:00;40:32;10:32;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;4;
;;;;;Pátá;Natálie;;F;;0;29:00;39:42;10:42;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;5;
;;;;;Šestá;Hana;;F;;0;32:00;43:32;11:32;0;;;;90004;Ètyølístek;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;6;
;;;;;Sedmá;Veronika;;F;;0;35:00;47:25;12:25;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;7;
;;;;;Osmá;Amélie;;F;;0;28:00;40:36;12:36;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;8;
;;;;;Devátá;Karolina;;F;;0;34:00;49:08;15:08;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;9;
;;;;;Desátá;Jana;;F;;0;38:00;56:50;18:50;0;;;;90001;Jih;;;;;1;D3;D3;1;D3;D3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;10;
;;;;;První;Jakub;;M;;0;20:00;26:57;6:57;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;1;
;;;;;Druhı;Mikuláš;;M;;0;16:00;24:35;8:35;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;2;
;;;;;Tøetí;Ondøej;;M;;0;1:00;9:59;8:59;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;3;
;;;;;Ètvrtı;Vojtìch;;M;;0;18:00;27:01;9:01;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;4;
;;;;;Pátı;Josef;;M;;0;5:00;14:21;9:21;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;5;
;;;;;Šestı;Benjamin;;M;;0;13:00;23:18;10:18;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;6;
;;;;;Sedmı;Matyáš;;M;;0;4:00;14:22;10:22;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;7;
;;;;;Osmı;Josef;;M;;0;22:00;32:25;10:25;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;8;
;;;;;Devátı;Ondøej;;M;;0;0:00;10:26;10:26;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;9;
;;;;;Desátı;Aleš;;M;;0;23:00;34:13;11:13;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;10;
;;;;;Jedenáctı;Tomáš;;M;;0;3:00;14:23;11:23;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;11;
;;;;;Dvanáctı;Ondøej;;M;;0;21:00;33:17;12:17;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;12;
;;;;;Tøináctı;Adam;;M;;0;11:00;24:49;13:49;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;13;
;;;;;Ètrnáctı;Maik;;M;;0;19:00;34:04;15:04;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;14;
;;;;;Patnáctı;Denis;;M;;0;14:00;29:45;15:45;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;15;
;;;;;Šestnáctı;Matìj;;M;;0;24:00;39:56;15:56;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;16;
;;;;;Sedmnáctı;Matìj;;M;;0;8:00;24:54;16:54;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;17;
;;;;;Osmnáctı;Matouš;;M;;0;17:00;34:13;17:13;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;18;
;;;;;Devatenáctı;Jakub;;M;;0;6:00;23:28;17:28;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;19;
;;;;;Dvacátı;David;;M;;0;12:00;31:42;19:42;0;;;;90004;Ètyølístek;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;20;
;;;;;Jednadvacátı;Petr;;M;;0;9:00;29:47;20:47;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;21;
;;;;;Dvaadvacátı;Dominik;;M;;0;10:00;33:22;23:22;0;;;;90001;Jih;;;;;2;H3;H3;2;H3;H3;;;;;;;;;;;;;;;;;;;0;0,00;0;;1;D3,H3;0,9;0;7;22;
